municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;;valorMedida
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;11:30:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;11:40:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;13:00:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;13:10:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;13:20:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;13:40:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;15:10:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;15:20:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;15:30:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;15:40:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;15:50:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;16:00:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;16:10:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;16:20:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;16:30:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;16:40:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;16:50:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;17:00:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;17:10:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;17:20:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;17:30:00;0,59
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;17:40:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;17:50:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;18:00:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;18:10:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;18:20:00;0,59
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;18:30:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;18:40:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;18:50:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;19:00:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;19:10:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;19:20:00;0,59
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;19:30:00;0,59
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;19:40:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;19:50:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;20:00:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;20:10:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;20:20:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;20:30:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;20:40:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;20:50:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;21:00:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;21:10:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;21:20:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;21:30:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;21:40:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;21:50:00;0,59
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;22:00:00;0,59
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;22:10:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;22:20:00;0,39
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;22:30:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;22:50:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;23:00:00;0,2
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;05/10/2021;23:20:00;0,2
