municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;;valorMedida
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;01:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;02:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;03:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;04:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;05:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;06:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;06:40:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;06:50:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;07:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;08:00:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;08:30:00;1
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;08:40:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;09:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;09:20:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;10:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;11:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;12:00:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;12:20:00;0,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;13:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;13:30:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;14:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;15:00:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;15:10:00;2,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;15:20:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;15:30:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;15:40:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;16:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;17:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;18:10:00;2,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;18:20:00;2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;18:30:00;0,4
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;18:40:00;1,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;18:50:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;19:00:00;1,2
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;19:10:00;1,8
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;19:20:00;1
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;20:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;21:10:00;0
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;22:00:00;0,6
PETRÓPOLIS;330390601G;RJ;Quitandinha - Geo;-43,223916;-22,524907;07/12/2021;22:10:00;1,4
