municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;valorMedida
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;11:30:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;19:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;08/01/2021;20:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;11:40:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;12:00:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;09/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;11:40:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;19:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;10/01/2021;20:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;19:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;20:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;11/01/2021;21:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;10:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;19:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;20:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;21:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;12/01/2021;22:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;11:20:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;19:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;20:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;13/01/2021;21:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;11:00:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;11:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;12:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;13:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;14:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;15:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;16:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;17:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;14/01/2021;18:50:00;0
PETRÓPOLIS;330390602A;RJ;Alto da Serra;-43,171;-22,53;16/01/2021;10:50:00;0
